start_station_name,end_station_name,member_casual,date,avg_temp,value,month,day_of_week,season
E 59 St & Madison Ave,Rivington St & Ridge St,member,2022-01-01,11.6,1,1,Saturday,winter
Atlantic Ave & Furman St,Clark St & Henry St,member,2022-01-01,11.6,1,1,Saturday,winter
St James Pl & Oliver St,Centre St & Chambers St,casual,2022-01-01,11.6,1,1,Saturday,winter
Lenox Ave & W 140 St,Lenox Ave & W 140 St,member,2022-01-01,11.6,1,1,Saturday,winter
Kent Ave & N 7 St,Montrose Ave & Bushwick Ave,member,2022-01-01,11.6,1,1,Saturday,winter
W 29 St & 9 Ave,Christopher St & Greenwich St,casual,2022-01-01,11.6,1,1,Saturday,winter
5 Ave & E 78 St,Central Park W & W 91 St,casual,2022-01-01,11.6,1,1,Saturday,winter
W 113 St & Broadway,Broadway & W 133 St,member,2022-01-01,11.6,1,1,Saturday,winter
Avenue D & E 3 St,W 90 St & Amsterdam Ave,member,2022-01-01,11.6,1,1,Saturday,winter
W 100 St & Manhattan Ave,W 90 St & Amsterdam Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Henry St & Grand St,Cooper Square & Astor Pl,member,2022-01-01,11.6,1,1,Saturday,winter
Broadway & E 14 St,Cooper Square & Astor Pl,member,2022-01-01,11.6,1,1,Saturday,winter
W 87 St & Amsterdam Ave,W 104 St & Amsterdam Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Division Ave & Hooper St,Bedford Ave & S 9 St,member,2022-01-01,11.6,1,1,Saturday,winter
Amsterdam Ave & W 73 St,West End Ave & W 60 St,member,2022-01-01,11.6,1,1,Saturday,winter
South St & Gouverneur Ln,E 11 St & Avenue B,member,2022-01-01,11.6,1,1,Saturday,winter
1 Ave & E 110 St,1 Ave & E 110 St,casual,2022-01-01,11.6,1,1,Saturday,winter
21 St & 4 Ave,Prospect Pl & Vanderbilt Ave,member,2022-01-01,11.6,1,1,Saturday,winter
W 29 St & 9 Ave,Stanton St & Chrystie St,casual,2022-01-01,11.6,1,1,Saturday,winter
Duffield St & Willoughby St,Duffield St & Willoughby St,member,2022-01-01,11.6,1,1,Saturday,winter
Broadway & W 142 St,W 64 St & Thelonious Monk Circle,member,2022-01-01,11.6,1,1,Saturday,winter
8 Ave & W 52 St,6 Ave & W 45 St,member,2022-01-01,11.6,1,1,Saturday,winter
Prospect Park SW & 10 Ave,West Drive & Prospect Park West,member,2022-01-01,11.6,1,1,Saturday,winter
Allen St & Rivington St,Cleveland Pl & Spring St,member,2022-01-01,11.6,1,1,Saturday,winter
Wythe Ave & Metropolitan Ave,McKibbin St & Manhattan Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Front St & Washington St,Willoughby Ave & Hall St,casual,2022-01-01,11.6,1,1,Saturday,winter
W 100 St & Broadway,W 163 St & Riverside Dr,casual,2022-01-01,11.6,1,1,Saturday,winter
E 27 St & Park Ave S,E 13 St & 2 Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Suydam St & Broadway,Willoughby Ave & Myrtle Ave,member,2022-01-01,11.6,1,1,Saturday,winter
E 12 St & Ave C,E 11 St & Avenue B,member,2022-01-01,11.6,1,1,Saturday,winter
E 2 St & Avenue B,E 11 St & Avenue B,member,2022-01-01,11.6,1,1,Saturday,winter
Carmine St & 6 Ave,Washington St & Barrow St,member,2022-01-01,11.6,1,1,Saturday,winter
E 45 St & 3 Ave,Spring St & Hudson St,member,2022-01-01,11.6,1,1,Saturday,winter
Broadway & Roebling St,N 6 St & Bedford Ave,member,2022-01-01,11.6,1,1,Saturday,winter
West End Ave & W 78 St,Riverside Dr & W 153 St,member,2022-01-01,11.6,1,1,Saturday,winter
Wilson Ave & Moffat St,Moffat St & Bushwick,member,2022-01-01,11.6,1,1,Saturday,winter
Roebling St & N 4 St,Bedford Ave & S 9 St,member,2022-01-01,11.6,1,1,Saturday,winter
Stagg St & Union Ave,Wyckoff Ave & Gates Ave,member,2022-01-01,11.6,1,1,Saturday,winter
5 Ave & E 87 St,Central Park West & W 72 St,casual,2022-01-01,11.6,1,1,Saturday,winter
5 Ave & E 87 St,Central Park West & W 72 St,casual,2022-01-01,11.6,1,1,Saturday,winter
E 20 St & FDR Drive,E 23 St & 1 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Lenox Ave & W 115 St,E 115 St & Lexington Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Underhill Ave & Lincoln Pl,Prospect Pl & Vanderbilt Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Spruce St & Gold St,Bayard St & Baxter St,member,2022-01-01,11.6,1,1,Saturday,winter
W 15 St & 6 Ave,E 13 St & 2 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
